sample_id,scene_path,num_contact_markers,reason
arctic_abox01_default,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/arctic_abox01_default/hand_object_contact_scene.ply,0,floating_or_far_contact
arctic_aket01_default,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/arctic_aket01_default/hand_object_contact_scene.ply,0,floating_or_far_contact
arctic_aket01_gpt55_selector,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/arctic_aket01_gpt55_selector/hand_object_contact_scene.ply,0,floating_or_far_contact
arctic_ascis01_default,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/arctic_ascis01_default/hand_object_contact_scene.ply,0,floating_or_far_contact
arctic_ascis01_gpt55_selector,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/arctic_ascis01_gpt55_selector/hand_object_contact_scene.ply,0,floating_or_far_contact
arctic_alapuse01_gpt55_selector,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/arctic_alapuse01_gpt55_selector/hand_object_contact_scene.ply,385,possible_penetration_heavy_contact
oakink_split000_default,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/oakink_split000_default/hand_object_contact_scene.ply,0,floating_or_far_contact
oakink_split000_gpt55_selector,/home/fredcui/foho_phase0/phase1_diagnostics/visual_inspection_step2_combined/oakink_split000_gpt55_selector/hand_object_contact_scene.ply,0,floating_or_far_contact
