case,expected_decision,actual_decision,match,selected_sample_id,method,p5_hand_object_dist_mm,floating,object_inside_hand_ratio,hand_inside_object_ratio,failure_reasons
alapuse01,select,select,True,arctic_alapuse01_default,default,3.078929669333472,False,0.0024278145088638,0.0861182519280205,['valid']
abox01,reject_both_or_rerun,reject_both_or_rerun,True,arctic_abox01_gpt55_selector,gpt55_selector,2.0273389448189345,False,0.0325111025294458,0.2493573264781491,['severe_penetration']
aket01,reject_both_or_rerun,reject_both_or_rerun,True,arctic_aket01_gpt55_selector,gpt55_selector,39.88220019091485,True,0.0,0.0,['severe_floating']
oakink_split000,reject_both_or_rerun,reject_both_or_rerun,True,oakink_split000_default,default,20.041855472596005,True,0.0,0.0,['severe_floating']
