sample_id,dataset,case,method,status,warnings,num_hand_vertices,num_object_points_used,object_representation,min_hand_object_dist_m,p5_hand_object_dist_m,mean_hand_object_dist_m,object_center_to_hand_center_m,min_hand_object_dist_mm,p5_hand_object_dist_mm,mean_hand_object_dist_mm,object_center_to_hand_center_mm,contact_threshold_mm,floating_threshold_mm,contact_vertex_count,contact_vertex_ratio,floating,penetration_supported,penetration_vertex_count,max_penetration_depth_mm
arctic_abox01_default,arctic,abox01,default,OK,,778,30000,sample_surface,0.01907004139100984,0.03285624382882204,0.07356065167138394,0.034288129664774646,19.070041391009838,32.85624382882204,73.56065167138394,34.288129664774644,5.0,10.0,0,0.0,True,False,,
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,,778,30000,sample_surface,0.00042463811560985884,0.0020273389448189345,0.011712461818267676,0.0484629479605678,0.4246381156098588,2.0273389448189345,11.712461818267677,48.462947960567796,5.0,10.0,178,0.22879177377892032,False,False,,
arctic_aket01_default,arctic,aket01,default,OK,,778,30000,sample_surface,0.15172966010827188,0.1601866987765544,0.19503794972489627,0.21157375822336943,151.72966010827187,160.18669877655438,195.03794972489627,211.57375822336942,5.0,10.0,0,0.0,True,False,,
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,OK,,778,30000,sample_surface,0.029327341309355145,0.03988220019091485,0.06756463855884211,0.08289447026397946,29.327341309355145,39.88220019091485,67.5646385588421,82.89447026397946,5.0,10.0,0,0.0,True,False,,
arctic_ascis01_default,arctic,ascis01,default,OK,,778,30000,sample_surface,0.11312633188335348,0.123589282554064,0.15541148254651682,0.24582891026401768,113.12633188335349,123.589282554064,155.41148254651682,245.82891026401768,5.0,10.0,0,0.0,True,False,,
arctic_ascis01_gpt55_selector,arctic,ascis01,gpt55_selector,OK,,778,30000,sample_surface,0.09162657531486972,0.10068915069989764,0.12947185930067528,0.15533762760469588,91.62657531486971,100.68915069989764,129.47185930067528,155.33762760469588,5.0,10.0,0,0.0,True,False,,
arctic_alapuse01_default,arctic,alapuse01,default,OK,,778,30000,sample_surface,0.0003823894749536265,0.0030789296693334712,0.025362923191286114,0.051590156683083276,0.3823894749536265,3.0789296693334713,25.362923191286114,51.59015668308327,5.0,10.0,95,0.12210796915167095,False,False,,
arctic_alapuse01_gpt55_selector,arctic,alapuse01,gpt55_selector,OK,,778,30000,sample_surface,0.00014644491677170951,0.001219359466226693,0.009602886451018823,0.027001203318025937,0.1464449167717095,1.2193594662266931,9.602886451018822,27.001203318025937,5.0,10.0,380,0.4884318766066838,False,False,,
arctic_amicuse01_default,arctic,amicuse01,default,OK,,778,30000,sample_surface,0.000626930464860283,0.002141816673848362,0.02369849712671352,0.11567483930938828,0.626930464860283,2.141816673848362,23.69849712671352,115.67483930938828,5.0,10.0,189,0.24293059125964012,False,False,,
arctic_amicuse01_gpt55_selector,arctic,amicuse01,gpt55_selector,OK,,778,30000,sample_surface,0.0003866928191420619,0.0020799741758852908,0.019686122481439524,0.09727812952278798,0.3866928191420619,2.0799741758852908,19.686122481439526,97.27812952278798,5.0,10.0,105,0.13496143958868895,False,False,,
oakink_split000_default,oakink,oakink_split000,default,OK,,778,30000,sample_surface,0.013800019851159275,0.020041855472596005,0.0569216151585276,0.14921702551866994,13.800019851159275,20.041855472596005,56.9216151585276,149.21702551866994,5.0,10.0,0,0.0,True,False,,
oakink_split000_gpt55_selector,oakink,oakink_split000,gpt55_selector,OK,,778,30000,sample_surface,0.026480396342151918,0.0434365272806147,0.08622020059545148,0.10767974097581579,26.480396342151916,43.4365272806147,86.22020059545147,107.67974097581579,5.0,10.0,0,0.0,True,False,,
