case,decision,chosen_method,chosen_run_id,soft_score,warning_tags,hard_reject_reason,object_cd_mm,object_f10,contact_p5_mm,hand_inside_object_ratio,components,largest_component_fraction
abox01,selected_for_contact_aware_optimization,old_gpt55_selector_v1,arctic_abox01_gpt55_auto_selector_native_v2,118.48550131211803,object_inside_hand_warning;hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning,,116.59678275816069,0.0673027303111795,4.486615682317096,0.2493573264781491,56,0.984486325121665
aket01,selected_for_contact_aware_optimization,partaware_v2_attempt0,arctic_aket01_partaware_v2_attempt0,87.26430224746578,hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning;fragmentation_warning,,64.51849278781403,0.0621226302292913,6.115536536534741,0.37146529562982,219,0.9199939157137298
alapuse01,selected_for_contact_aware_optimization,default_baseline,arctic_alapuse01_default,57.356437019377076,object_penetration_depth_warning;hand_penetration_depth_warning,,60.50951355785459,0.1241255504754424,8.31648961799621,0.0861182519280205,47,0.9919753259986278
amicuse01,selected_for_contact_aware_optimization,default_baseline,arctic_amicuse01_default,70.77944154410534,object_inside_hand_warning;hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning;fragmentation_warning,,65.57131108803019,0.1507911657136993,4.822651833127515,0.2596401028277635,161,0.9644815777823736
ascis01,selected_for_contact_aware_optimization,old_gpt55_selector_v1,arctic_ascis01_gpt55_auto_selector_native_v2,182.3064456450235,floating_warning;low_integrity_warning,,92.40542663507598,0.0,130.56538734726612,0.0,11,0.5296334932737107
