case,method,run_id,exists_physical,status_gt,object_cd_mm,object_f5,object_f10,hand_cd_mm,contact_p5_mm,contact_mean_mm,object_inside_hand_ratio,object_inside_hand_max_depth_mm,hand_inside_object_ratio,hand_inside_object_max_depth_mm,components,largest_component_fraction,bbox_diag_mm,selector_v4_gate,final_status
abox01,default_baseline,arctic_abox01_default,True,ok,98.40169162272616,0.0119194268098703,0.0435862602885447,4.151192910072491,117.22050437056905,263.0718561799051,0.0,0.0,1.0,379.6872395181082,15,0.9085398752758532,3124.4078141632576,reject_severe_penetration,rejected_by_selector_v4
abox01,old_gpt55_selector_v1,arctic_abox01_gpt55_auto_selector_native_v2,True,ok,116.59678275816069,0.0247894515747323,0.0673027303111795,4.151189907511339,4.486615682317096,40.91456953338204,0.0325111025294458,63.20580833658384,0.2493573264781491,42.04440158665351,56,0.984486325121665,2041.432443769432,reject_severe_penetration,rejected_by_selector_v4
abox01,partaware_v2_attempt0,arctic_abox01_partaware_v2_attempt0,True,ok,95.43003686943987,0.0044824906599646,0.0184422421152688,4.151188978456762,120.22874334090636,232.0191931137667,0.0,0.0,1.0,396.78815199259634,6,0.7454101088355701,3501.749773540712,reject_severe_penetration,rejected_by_selector_v4
aket01,default_baseline,arctic_aket01_default,True,ok,126.41712444846932,0.0,0.0,7.236895920234127,398.2251516158972,485.1338543365026,0.0,0.0,0.0,0.0,10,0.6129786745966636,376.51386954137695,reject_severe_floating,rejected_by_selector_v4
aket01,old_gpt55_selector_v1,arctic_aket01_gpt55_auto_selector_native_v2,True,ok,40.17626079809386,0.0157069205871625,0.0447913260717992,7.236893957640367,102.49481023381487,164.27981221208628,0.0,0.0,0.0,0.0,48,0.9421435841498584,653.2942513543799,reject_severe_floating,rejected_by_selector_v4
aket01,partaware_v2_attempt0,arctic_aket01_partaware_v2_attempt0,True,ok,64.51849278781403,0.0297328920876617,0.0621226302292913,7.236895778675349,6.115536536534741,59.9976983229726,0.0148945533326563,48.48582173694474,0.37146529562982,164.32454649729974,219,0.9199939157137298,1809.7096958652617,reject_severe_penetration,rejected_by_selector_v4
ascis01,default_baseline,arctic_ascis01_default,True,ok,139.27402710127524,0.0,0.0,4.75784262004216,160.96044977217818,201.16411478352003,0.0,0.0,0.0,0.0,64,0.9357948842411984,558.8631097939899,reject_severe_floating,rejected_by_selector_v4
ascis01,old_gpt55_selector_v1,arctic_ascis01_gpt55_auto_selector_native_v2,True,ok,92.40542663507598,0.0,0.0,4.757841410651789,130.56538734726612,167.95842309617288,0.0,0.0,0.0,0.0,11,0.5296334932737107,389.5028636856303,reject_severe_floating,rejected_by_selector_v4
ascis01,partaware_v2_attempt0,arctic_ascis01_partaware_v2_attempt0,True,ok,117.70447873546266,0.0,0.0,4.757842307217907,155.3020946411623,194.34620512498117,0.0,0.0,0.0,0.0,127,0.9476983288196108,615.4074385309139,reject_severe_floating,rejected_by_selector_v4
alapuse01,default_baseline,arctic_alapuse01_default,True,ok,60.50951355785459,0.064698129676191,0.1241255504754424,4.335729022784503,8.31648961799621,74.85892018878496,0.0024278145088638,16.686855821762503,0.0861182519280205,17.420002339630475,47,0.9919753259986278,1278.1665083870337,reject_severe_penetration,rejected_by_selector_v4
alapuse01,old_gpt55_selector_v1,arctic_alapuse01_gpt55_auto_selector_native_v2,True,ok,71.45581814191013,0.0715334516725046,0.1355330336101928,4.335730015074433,1.8813403101502424,23.830657052472283,0.0351125174679152,33.69193669792719,0.3341902313624679,27.910100581027702,96,0.9893895597159528,1200.9334464520282,reject_severe_penetration,rejected_by_selector_v4
alapuse01,partaware_v2_attempt0,arctic_alapuse01_partaware_v2_attempt0,True,ok,118.69247341924276,0.0044142029672057,0.0092286486030487,4.33572898604277,13.189541297172322,122.006783360255,0.001064764737696,10.48446311168706,0.0012853470437017,0.5967863461006474,103,0.496623632398161,817.3180381356608,reject_severe_penetration,rejected_by_selector_v4
amicuse01,default_baseline,arctic_amicuse01_default,True,ok,65.57131108803019,0.0726960526305755,0.1507911657136993,7.288118687934849,4.822651833127515,113.21101468063296,0.0408025522341269,100.12077284090311,0.2596401028277635,104.31760697173834,161,0.9644815777823736,2639.6395362503736,reject_severe_penetration,rejected_by_selector_v4
amicuse01,old_gpt55_selector_v1,arctic_amicuse01_gpt55_auto_selector_native_v2,True,ok,64.550862932084,0.0505891642579182,0.1022523429204869,7.288117657453078,8.053314686768296,87.44132126584405,0.0449316727209825,68.84587331258466,0.0321336760925449,20.24348633776605,264,0.6201981158583798,2143.5231600653287,reject_severe_penetration,rejected_by_selector_v4
amicuse01,partaware_v2_attempt0,arctic_amicuse01_partaware_v2_attempt0,True,ok,146.70867404063264,0.0,0.0003270215345804,7.288117094568317,129.432007322376,276.0240366118486,0.0,0.0,0.0,0.0,111,0.6695282836143932,3948.839572434029,reject_severe_floating,rejected_by_selector_v4
