case,method,run_id,exists,status,chosen_gt_hand,sim_scale,pred_obj_to_hand_center_mm,gt_obj_to_hand_center_mm,relative_object_center_error_mm,pred_rel_x_mm,pred_rel_y_mm,pred_rel_z_mm,gt_rel_x_mm,gt_rel_y_mm,gt_rel_z_mm
abox01,default_baseline,arctic_abox01_default,True,ok,right,0.27925178556078156,46.353100162902514,214.40808475017548,222.45877802192598,-34.48197219483622,6.9089749799853095,30.197177897819394,153.91287207603455,30.203431844711304,146.18277549743652
abox01,old_gpt55_selector_v1,arctic_abox01_gpt55_auto_selector_native_v2,True,ok,left,0.23435348549351703,77.10153416944898,205.8880776166916,189.52859881566488,-57.59356661489558,-16.560242582611657,-48.51171014779165,63.4332001209259,-97.12667018175125,-170.09568214416504
abox01,partaware_v2_attempt0,arctic_abox01_partaware_v2_attempt0,True,ok,right,0.2747660555892344,44.74001043498519,214.40808475017548,182.91899325221564,14.016687013879103,-17.828522835033816,38.566109375956174,153.91287207603455,30.203431844711304,146.18277549743652
aket01,default_baseline,arctic_aket01_default,True,ok,left,0.40186149291454715,211.51229485821304,56.34099245071411,163.03345437494008,-9.893597663373054,-106.3142349782994,182.58381922405366,-26.18221938610077,-31.623952090740204,38.583993911743164
aket01,old_gpt55_selector_v1,arctic_aket01_gpt55_auto_selector_native_v2,True,ok,left,0.3863587327188659,140.9110405640312,56.34099245071411,90.50924654568655,-17.335749084565087,-82.4097893959274,112.97796142714711,-26.18221938610077,-31.623952090740204,38.583993911743164
aket01,partaware_v2_attempt0,arctic_aket01_partaware_v2_attempt0,True,ok,left,0.3805419156844592,126.29022800423131,56.34099245071411,111.29408137882066,37.888366205356945,8.71384901392916,120.15723961131908,-26.18221938610077,-31.623952090740204,38.583993911743164
ascis01,default_baseline,arctic_ascis01_default,True,ok,right,0.5075955698926081,156.0397750887454,121.62347137928009,144.9459637782945,119.84711079011964,98.93434373094767,14.038414281311695,-7.09938257932663,108.08262228965759,-55.31740188598633
ascis01,old_gpt55_selector_v1,arctic_ascis01_gpt55_auto_selector_native_v2,True,ok,right,0.5101434474800831,87.38426071586312,121.62347137928009,131.37106794649205,75.48842311158418,6.601510844560954,-43.5192721854758,-7.09938257932663,108.08262228965759,-55.31740188598633
ascis01,partaware_v2_attempt0,arctic_ascis01_partaware_v2_attempt0,True,ok,right,0.5103880526848016,122.3711540250564,121.62347137928009,154.05687564437872,118.00484168497033,31.203430246542872,-8.712210808876186,-7.09938257932663,108.08262228965759,-55.31740188598633
alapuse01,default_baseline,arctic_alapuse01_default,True,ok,right,0.3365038153790107,71.6020406273786,143.35297048091888,142.8844242586218,66.10220260926529,12.055566640509191,24.738923686867587,-14.018294401466846,2.338886260986328,142.64672994613647
alapuse01,old_gpt55_selector_v1,arctic_alapuse01_gpt55_auto_selector_native_v2,True,ok,right,0.37560466411829607,27.513961316687467,143.35297048091888,135.28712862837338,5.74784244815145,24.691668159178143,10.691206575706547,-14.018294401466846,2.338886260986328,142.64672994613647
alapuse01,partaware_v2_attempt0,arctic_alapuse01_partaware_v2_attempt0,True,ok,left,0.30576279430117786,94.82314881659768,173.4675019979477,148.5584739886573,0.48097336878102914,-79.51627744350019,-51.65616940542006,148.04814755916595,-83.36906880140305,-34.961700439453125
amicuse01,default_baseline,arctic_amicuse01_default,True,ok,right,0.20404764909840156,120.33993074686093,157.9018235206604,163.64187281962845,-100.87368219798275,42.2650826320031,-50.198226682718726,-112.94228583574295,-110.02478748559952,8.460164070129395
amicuse01,old_gpt55_selector_v1,arctic_amicuse01_gpt55_auto_selector_native_v2,True,ok,right,0.21635212297735615,87.307116735595,157.9018235206604,156.342853361762,-59.64086644972,19.692847161723797,-60.64397292785545,-112.94228583574295,-110.02478748559952,8.460164070129395
amicuse01,partaware_v2_attempt0,arctic_amicuse01_partaware_v2_attempt0,True,ok,right,0.2859833454754065,227.14434842618067,157.9018235206604,174.01320883417876,-226.06851408642888,21.51504503831346,-4.96837978697362,-112.94228583574295,-110.02478748559952,8.460164070129395
abox01,selector_v41_refined_pipeline,arctic_abox01_selector_v41_refined_pipeline,True,ok,right,0.2821957982008807,33.67935266026631,214.40808475017548,193.2018999806099,1.4907727994928899,-5.979420548213731,33.110767462903645,153.91287207603455,30.203431844711304,146.18277549743652
aket01,selector_v41_refined_pipeline,arctic_aket01_selector_v41_refined_pipeline,True,ok,left,0.40810864887861753,151.6189247013155,56.34099245071411,135.22187801659305,-21.659871490131128,60.781098839869514,137.20352152343685,-26.18221938610077,-31.623952090740204,38.583993911743164
ascis01,selector_v41_refined_pipeline,arctic_ascis01_selector_v41_refined_pipeline,True,ok,right,0.5103226416183374,98.20532040063448,121.62347137928009,145.80512717548075,93.69352716189749,26.926133782590846,11.865548553525507,-7.09938257932663,108.08262228965759,-55.31740188598633
alapuse01,selector_v41_refined_pipeline,arctic_alapuse01_selector_v41_refined_pipeline,True,ok,left,0.3097314430466256,93.87432925318161,173.4675019979477,160.91177825061723,-10.868326334640187,-73.00800573591134,-58.000864423589874,148.04814755916595,-83.36906880140305,-34.961700439453125
amicuse01,selector_v41_refined_pipeline,arctic_amicuse01_selector_v41_refined_pipeline,True,ok,right,0.28550990148239663,176.78212669384604,157.9018235206604,172.15492155625654,-166.03447026423393,52.17828682905069,31.014535077275696,-112.94228583574295,-110.02478748559952,8.460164070129395
